geoName,seriousness
Alabama,39
Alaska,0
Arizona,39
Arkansas,69
California,50
Colorado,69
Connecticut,44
Delaware,0
District of Columbia,35
Florida,53
Georgia,47
Hawaii,0
Idaho,0
Illinois,67
Indiana,49
Iowa,76
Kansas,18
Kentucky,50
Louisiana,69
Maine,0
Maryland,80
Massachusetts,43
Michigan,41
Minnesota,13
Mississippi,76
Missouri,51
Montana,0
Nebraska,51
Nevada,58
New Hampshire,0
New Jersey,48
New Mexico,0
New York,52
North Carolina,67
North Dakota,0
Ohio,70
Oklahoma,26
Oregon,63
Pennsylvania,46
Rhode Island,0
South Carolina,41
South Dakota,0
Tennessee,58
Texas,32
Utah,59
Vermont,0
Virginia,100
Washington,68
West Virginia,0
Wisconsin,62
Wyoming,0
