date,sorrowful,isPartial
2012-01-01,51,False
2012-01-08,55,False
2012-01-15,32,False
2012-01-22,60,False
2012-01-29,53,False
2012-02-05,82,False
2012-02-12,41,False
2012-02-19,60,False
2012-02-26,74,False
2012-03-04,68,False
2012-03-11,70,False
2012-03-18,67,False
2012-03-25,73,False
2012-04-01,69,False
2012-04-08,53,False
2012-04-15,66,False
2012-04-22,69,False
2012-04-29,37,False
2012-05-06,47,False
2012-05-13,48,False
2012-05-20,80,False
2012-05-27,50,False
2012-06-03,32,False
2012-06-10,49,False
2012-06-17,26,False
2012-06-24,54,False
2012-07-01,47,False
2012-07-08,67,False
2012-07-15,28,False
2012-07-22,38,False
2012-07-29,25,False
2012-08-05,16,False
2012-08-12,47,False
2012-08-19,25,False
2012-08-26,65,False
2012-09-02,99,False
2012-09-09,97,False
2012-09-16,84,False
2012-09-23,77,False
2012-09-30,100,False
2012-10-07,75,False
2012-10-14,96,False
2012-10-21,76,False
2012-10-28,58,False
2012-11-04,48,False
2012-11-11,52,False
2012-11-18,48,False
2012-11-25,62,False
2012-12-02,47,False
2012-12-09,66,False
2012-12-16,37,False
2012-12-23,23,False
2012-12-30,50,False
