date,studies,isPartial
2014-01-05,75,False
2014-01-12,87,False
2014-01-19,81,False
2014-01-26,90,False
2014-02-02,84,False
2014-02-09,84,False
2014-02-16,83,False
2014-02-23,89,False
2014-03-02,83,False
2014-03-09,80,False
2014-03-16,79,False
2014-03-23,85,False
2014-03-30,87,False
2014-04-06,87,False
2014-04-13,82,False
2014-04-20,85,False
2014-04-27,89,False
2014-05-04,84,False
2014-05-11,79,False
2014-05-18,79,False
2014-05-25,67,False
2014-06-01,67,False
2014-06-08,63,False
2014-06-15,60,False
2014-06-22,58,False
2014-06-29,53,False
2014-07-06,58,False
2014-07-13,60,False
2014-07-20,59,False
2014-07-27,61,False
2014-08-03,63,False
2014-08-10,65,False
2014-08-17,77,False
2014-08-24,83,False
2014-08-31,95,False
2014-09-07,100,False
2014-09-14,99,False
2014-09-21,97,False
2014-09-28,98,False
2014-10-05,95,False
2014-10-12,89,False
2014-10-19,99,False
2014-10-26,98,False
2014-11-02,98,False
2014-11-09,95,False
2014-11-16,91,False
2014-11-23,63,False
2014-11-30,90,False
2014-12-07,83,False
2014-12-14,69,False
2014-12-21,33,False
2014-12-28,43,False
