date,studies,isPartial
2012-01-01,74,False
2012-01-08,90,False
2012-01-15,86,False
2012-01-22,93,False
2012-01-29,96,False
2012-02-05,91,False
2012-02-12,89,False
2012-02-19,88,False
2012-02-26,97,False
2012-03-04,90,False
2012-03-11,83,False
2012-03-18,88,False
2012-03-25,92,False
2012-04-01,89,False
2012-04-08,92,False
2012-04-15,96,False
2012-04-22,96,False
2012-04-29,89,False
2012-05-06,87,False
2012-05-13,79,False
2012-05-20,77,False
2012-05-27,64,False
2012-06-03,69,False
2012-06-10,68,False
2012-06-17,62,False
2012-06-24,59,False
2012-07-01,53,False
2012-07-08,62,False
2012-07-15,62,False
2012-07-22,63,False
2012-07-29,63,False
2012-08-05,63,False
2012-08-12,70,False
2012-08-19,80,False
2012-08-26,90,False
2012-09-02,91,False
2012-09-09,100,False
2012-09-16,100,False
2012-09-23,94,False
2012-09-30,99,False
2012-10-07,87,False
2012-10-14,92,False
2012-10-21,96,False
2012-10-28,86,False
2012-11-04,87,False
2012-11-11,91,False
2012-11-18,65,False
2012-11-25,92,False
2012-12-02,92,False
2012-12-09,83,False
2012-12-16,62,False
2012-12-23,37,False
2012-12-30,58,False
