date,studies,isPartial
2016-01-03,81,False
2016-01-10,82,False
2016-01-17,84,False
2016-01-24,97,False
2016-01-31,94,False
2016-02-07,92,False
2016-02-14,84,False
2016-02-21,92,False
2016-02-28,89,False
2016-03-06,83,False
2016-03-13,80,False
2016-03-20,81,False
2016-03-27,83,False
2016-04-03,93,False
2016-04-10,94,False
2016-04-17,91,False
2016-04-24,89,False
2016-05-01,86,False
2016-05-08,84,False
2016-05-15,81,False
2016-05-22,71,False
2016-05-29,60,False
2016-06-05,65,False
2016-06-12,57,False
2016-06-19,55,False
2016-06-26,51,False
2016-07-03,47,False
2016-07-10,54,False
2016-07-17,57,False
2016-07-24,55,False
2016-07-31,57,False
2016-08-07,59,False
2016-08-14,65,False
2016-08-21,83,False
2016-08-28,89,False
2016-09-04,94,False
2016-09-11,100,False
2016-09-18,96,False
2016-09-25,98,False
2016-10-02,91,False
2016-10-09,89,False
2016-10-16,97,False
2016-10-23,98,False
2016-10-30,99,False
2016-11-06,85,False
2016-11-13,99,False
2016-11-20,58,False
2016-11-27,96,False
2016-12-04,91,False
2016-12-11,81,False
2016-12-18,51,False
2016-12-25,39,False
