date,studies,isPartial
2011-01-02,81,False
2011-01-09,84,False
2011-01-16,90,False
2011-01-23,94,False
2011-01-30,89,False
2011-02-06,88,False
2011-02-13,97,False
2011-02-20,91,False
2011-02-27,90,False
2011-03-06,92,False
2011-03-13,84,False
2011-03-20,92,False
2011-03-27,96,False
2011-04-03,94,False
2011-04-10,93,False
2011-04-17,85,False
2011-04-24,91,False
2011-05-01,86,False
2011-05-08,83,False
2011-05-15,80,False
2011-05-22,71,False
2011-05-29,71,False
2011-06-05,72,False
2011-06-12,66,False
2011-06-19,64,False
2011-06-26,61,False
2011-07-03,56,False
2011-07-10,62,False
2011-07-17,63,False
2011-07-24,61,False
2011-07-31,63,False
2011-08-07,63,False
2011-08-14,67,False
2011-08-21,78,False
2011-08-28,86,False
2011-09-04,84,False
2011-09-11,98,False
2011-09-18,95,False
2011-09-25,94,False
2011-10-02,94,False
2011-10-09,95,False
2011-10-16,100,False
2011-10-23,94,False
2011-10-30,97,False
2011-11-06,95,False
2011-11-13,95,False
2011-11-20,66,False
2011-11-27,87,False
2011-12-04,88,False
2011-12-11,77,False
2011-12-18,51,False
2011-12-25,42,False
