date,studies,isPartial
2013-01-06,81,False
2013-01-13,87,False
2013-01-20,81,False
2013-01-27,87,False
2013-02-03,84,False
2013-02-10,81,False
2013-02-17,82,False
2013-02-24,88,False
2013-03-03,84,False
2013-03-10,79,False
2013-03-17,83,False
2013-03-24,77,False
2013-03-31,81,False
2013-04-07,89,False
2013-04-14,86,False
2013-04-21,91,False
2013-04-28,88,False
2013-05-05,80,False
2013-05-12,76,False
2013-05-19,70,False
2013-05-26,67,False
2013-06-02,67,False
2013-06-09,64,False
2013-06-16,59,False
2013-06-23,56,False
2013-06-30,50,False
2013-07-07,57,False
2013-07-14,57,False
2013-07-21,57,False
2013-07-28,58,False
2013-08-04,60,False
2013-08-11,69,False
2013-08-18,74,False
2013-08-25,88,False
2013-09-01,90,False
2013-09-08,97,False
2013-09-15,95,False
2013-09-22,93,False
2013-09-29,92,False
2013-10-06,90,False
2013-10-13,88,False
2013-10-20,97,False
2013-10-27,98,False
2013-11-03,100,False
2013-11-10,100,False
2013-11-17,95,False
2013-11-24,66,False
2013-12-01,84,False
2013-12-08,81,False
2013-12-15,68,False
2013-12-22,38,False
2013-12-29,49,False
