date,studies,isPartial
2015-01-04,79,False
2015-01-11,88,False
2015-01-18,85,False
2015-01-25,88,False
2015-02-01,86,False
2015-02-08,86,False
2015-02-15,77,False
2015-02-22,83,False
2015-03-01,86,False
2015-03-08,85,False
2015-03-15,80,False
2015-03-22,84,False
2015-03-29,81,False
2015-04-05,85,False
2015-04-12,92,False
2015-04-19,90,False
2015-04-26,87,False
2015-05-03,83,False
2015-05-10,83,False
2015-05-17,75,False
2015-05-24,65,False
2015-05-31,66,False
2015-06-07,63,False
2015-06-14,56,False
2015-06-21,55,False
2015-06-28,51,False
2015-07-05,56,False
2015-07-12,54,False
2015-07-19,57,False
2015-07-26,55,False
2015-08-02,59,False
2015-08-09,66,False
2015-08-16,74,False
2015-08-23,88,False
2015-08-30,95,False
2015-09-06,93,False
2015-09-13,100,False
2015-09-20,97,False
2015-09-27,97,False
2015-10-04,96,False
2015-10-11,93,False
2015-10-18,97,False
2015-10-25,99,False
2015-11-01,100,False
2015-11-08,97,False
2015-11-15,98,False
2015-11-22,60,False
2015-11-29,90,False
2015-12-06,89,False
2015-12-13,72,False
2015-12-20,40,False
2015-12-27,40,False
