date,solitary,isPartial
2014-01-05,57,False
2014-01-12,65,False
2014-01-19,70,False
2014-01-26,60,False
2014-02-02,75,False
2014-02-09,78,False
2014-02-16,66,False
2014-02-23,98,False
2014-03-02,80,False
2014-03-09,67,False
2014-03-16,83,False
2014-03-23,77,False
2014-03-30,80,False
2014-04-06,69,False
2014-04-13,70,False
2014-04-20,100,False
2014-04-27,85,False
2014-05-04,69,False
2014-05-11,72,False
2014-05-18,67,False
2014-05-25,64,False
2014-06-01,61,False
2014-06-08,69,False
2014-06-15,76,False
2014-06-22,50,False
2014-06-29,58,False
2014-07-06,66,False
2014-07-13,57,False
2014-07-20,62,False
2014-07-27,65,False
2014-08-03,62,False
2014-08-10,55,False
2014-08-17,57,False
2014-08-24,55,False
2014-08-31,65,False
2014-09-07,66,False
2014-09-14,72,False
2014-09-21,79,False
2014-09-28,77,False
2014-10-05,83,False
2014-10-12,67,False
2014-10-19,70,False
2014-10-26,71,False
2014-11-02,92,False
2014-11-09,75,False
2014-11-16,76,False
2014-11-23,71,False
2014-11-30,81,False
2014-12-07,75,False
2014-12-14,72,False
2014-12-21,66,False
2014-12-28,53,False
