date,solitary,isPartial
2015-01-04,60,False
2015-01-11,71,False
2015-01-18,69,False
2015-01-25,65,False
2015-02-01,71,False
2015-02-08,62,False
2015-02-15,64,False
2015-02-22,64,False
2015-03-01,65,False
2015-03-08,71,False
2015-03-15,65,False
2015-03-22,67,False
2015-03-29,60,False
2015-04-05,60,False
2015-04-12,100,False
2015-04-19,80,False
2015-04-26,74,False
2015-05-03,71,False
2015-05-10,72,False
2015-05-17,67,False
2015-05-24,73,False
2015-05-31,61,False
2015-06-07,94,False
2015-06-14,83,False
2015-06-21,59,False
2015-06-28,78,False
2015-07-05,70,False
2015-07-12,67,False
2015-07-19,58,False
2015-07-26,57,False
2015-08-02,64,False
2015-08-09,61,False
2015-08-16,66,False
2015-08-23,62,False
2015-08-30,67,False
2015-09-06,67,False
2015-09-13,71,False
2015-09-20,78,False
2015-09-27,75,False
2015-10-04,90,False
2015-10-11,84,False
2015-10-18,81,False
2015-10-25,80,False
2015-11-01,77,False
2015-11-08,79,False
2015-11-15,82,False
2015-11-22,62,False
2015-11-29,82,False
2015-12-06,86,False
2015-12-13,82,False
2015-12-20,63,False
2015-12-27,48,False
