date,tragedy,isPartial
2015-01-04,59,False
2015-01-11,63,False
2015-01-18,61,False
2015-01-25,56,False
2015-02-01,59,False
2015-02-08,62,False
2015-02-15,57,False
2015-02-22,65,False
2015-03-01,58,False
2015-03-08,58,False
2015-03-15,55,False
2015-03-22,67,False
2015-03-29,54,False
2015-04-05,59,False
2015-04-12,66,False
2015-04-19,68,False
2015-04-26,68,False
2015-05-03,65,False
2015-05-10,69,False
2015-05-17,64,False
2015-05-24,50,False
2015-05-31,53,False
2015-06-07,47,False
2015-06-14,60,False
2015-06-21,39,False
2015-06-28,38,False
2015-07-05,45,False
2015-07-12,39,False
2015-07-19,52,False
2015-07-26,46,False
2015-08-02,39,False
2015-08-09,42,False
2015-08-16,43,False
2015-08-23,54,False
2015-08-30,58,False
2015-09-06,74,False
2015-09-13,56,False
2015-09-20,66,False
2015-09-27,71,False
2015-10-04,67,False
2015-10-11,58,False
2015-10-18,85,False
2015-10-25,98,False
2015-11-01,64,False
2015-11-08,100,False
2015-11-15,91,False
2015-11-22,48,False
2015-11-29,75,False
2015-12-06,75,False
2015-12-13,60,False
2015-12-20,41,False
2015-12-27,36,False
