date,inactivity,isPartial
2013-01-06,57,False
2013-01-13,78,False
2013-01-20,74,False
2013-01-27,58,False
2013-02-03,77,False
2013-02-10,73,False
2013-02-17,61,False
2013-02-24,62,False
2013-03-03,79,False
2013-03-10,65,False
2013-03-17,41,False
2013-03-24,72,False
2013-03-31,56,False
2013-04-07,100,False
2013-04-14,62,False
2013-04-21,86,False
2013-04-28,98,False
2013-05-05,56,False
2013-05-12,68,False
2013-05-19,60,False
2013-05-26,63,False
2013-06-02,83,False
2013-06-09,69,False
2013-06-16,97,False
2013-06-23,85,False
2013-06-30,61,False
2013-07-07,68,False
2013-07-14,84,False
2013-07-21,52,False
2013-07-28,60,False
2013-08-04,63,False
2013-08-11,55,False
2013-08-18,72,False
2013-08-25,63,False
2013-09-01,67,False
2013-09-08,69,False
2013-09-15,92,False
2013-09-22,82,False
2013-09-29,74,False
2013-10-06,75,False
2013-10-13,97,False
2013-10-20,96,False
2013-10-27,81,False
2013-11-03,90,False
2013-11-10,92,False
2013-11-17,70,False
2013-11-24,47,False
2013-12-01,82,False
2013-12-08,68,False
2013-12-15,79,False
2013-12-22,44,False
2013-12-29,60,False
