date,inactivity,isPartial
2012-01-01,50,False
2012-01-08,45,False
2012-01-15,57,False
2012-01-22,44,False
2012-01-29,58,False
2012-02-05,56,False
2012-02-12,41,False
2012-02-19,61,False
2012-02-26,60,False
2012-03-04,65,False
2012-03-11,52,False
2012-03-18,69,False
2012-03-25,71,False
2012-04-01,40,False
2012-04-08,64,False
2012-04-15,76,False
2012-04-22,63,False
2012-04-29,48,False
2012-05-06,61,False
2012-05-13,66,False
2012-05-20,54,False
2012-05-27,66,False
2012-06-03,53,False
2012-06-10,65,False
2012-06-17,58,False
2012-06-24,64,False
2012-07-01,65,False
2012-07-08,49,False
2012-07-15,100,False
2012-07-22,61,False
2012-07-29,64,False
2012-08-05,58,False
2012-08-12,70,False
2012-08-19,65,False
2012-08-26,36,False
2012-09-02,55,False
2012-09-09,51,False
2012-09-16,63,False
2012-09-23,59,False
2012-09-30,45,False
2012-10-07,67,False
2012-10-14,54,False
2012-10-21,68,False
2012-10-28,87,False
2012-11-04,72,False
2012-11-11,65,False
2012-11-18,51,False
2012-11-25,56,False
2012-12-02,66,False
2012-12-09,64,False
2012-12-16,35,False
2012-12-23,37,False
2012-12-30,45,False
