date,inactivity,isPartial
2011-01-02,69,False
2011-01-09,83,False
2011-01-16,47,False
2011-01-23,86,False
2011-01-30,78,False
2011-02-06,65,False
2011-02-13,86,False
2011-02-20,94,False
2011-02-27,80,False
2011-03-06,98,False
2011-03-13,76,False
2011-03-20,65,False
2011-03-27,87,False
2011-04-03,50,False
2011-04-10,65,False
2011-04-17,86,False
2011-04-24,100,False
2011-05-01,61,False
2011-05-08,42,False
2011-05-15,73,False
2011-05-22,59,False
2011-05-29,93,False
2011-06-05,70,False
2011-06-12,63,False
2011-06-19,46,False
2011-06-26,71,False
2011-07-03,97,False
2011-07-10,69,False
2011-07-17,42,False
2011-07-24,78,False
2011-07-31,90,False
2011-08-07,59,False
2011-08-14,56,False
2011-08-21,58,False
2011-08-28,58,False
2011-09-04,69,False
2011-09-11,74,False
2011-09-18,73,False
2011-09-25,76,False
2011-10-02,66,False
2011-10-09,96,False
2011-10-16,58,False
2011-10-23,54,False
2011-10-30,59,False
2011-11-06,70,False
2011-11-13,73,False
2011-11-20,46,False
2011-11-27,54,False
2011-12-04,60,False
2011-12-11,71,False
2011-12-18,55,False
2011-12-25,53,False
