ID,Year,LocationAbbr,LocationDesc,Class,Topic,Indicator,Response,DataSource,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Stratification,StratificationType,IndicatorId,LocationOrder,ParentStateDisplayOrder,FootnoteType,FootNoteSymbol,FootnoteText,URL,DatasourceAbbr,Agency
2067516,2012,US,"All States, DC and Territories (median) **",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,BRFSS,%,Crude Prevalence,17.6,,,,,53,Overall,Overall,ADDEPEV2,1,1,,,,,,
2067388,2012,UW,All States and DC (median) **,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,BRFSS,%,Crude Prevalence,18,,,,,51,Overall,Overall,ADDEPEV2,2,2,,,,,,
1919286,2012,AL,Alabama,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,BRFSS,%,Crude Prevalence,21.9,,,20.7,23.1,2088,Overall,Overall,ADDEPEV2,3,3,,,,,,
1921632,2012,AK,Alaska,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,BRFSS,%,Crude Prevalence,16.9,,,15.4,18.5,754,Overall,Overall,ADDEPEV2,4,4,,,,,,
1925349,2012,AZ,Arizona,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,BRFSS,%,Crude Prevalence,18.8,,,17.3,20.3,1327,Overall,Overall,ADDEPEV2,5,5,,,,,,
1927990,2012,AR,Arkansas,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,BRFSS,%,Crude Prevalence,22.2,,,20.6,23.7,1131,Overall,Overall,ADDEPEV2,6,6,,,,,,
1930841,2012,CA,California,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,BRFSS,%,Crude Prevalence,11.7,,,10.9,12.4,1988,Overall,Overall,ADDEPEV2,7,7,,,,,,
1933320,2012,CO,Colorado,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,BRFSS,%,Crude Prevalence,17.4,,,16.4,18.3,2105,Overall,Overall,ADDEPEV2,8,8,,,,,,
1936194,2012,CT,Connecticut,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,BRFSS,%,Crude Prevalence,16.7,,,15.6,17.8,1519,Overall,Overall,ADDEPEV2,9,9,,,,,,
1939154,2012,DE,Delaware,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,BRFSS,%,Crude Prevalence,14.8,,,13.4,16.1,799,Overall,Overall,ADDEPEV2,10,10,,,,,,
