date,insecure,isPartial
2012-01-01,67,False
2012-01-08,76,False
2012-01-15,82,False
2012-01-22,74,False
2012-01-29,79,False
2012-02-05,79,False
2012-02-12,83,False
2012-02-19,81,False
2012-02-26,88,False
2012-03-04,89,False
2012-03-11,83,False
2012-03-18,89,False
2012-03-25,93,False
2012-04-01,100,False
2012-04-08,96,False
2012-04-15,83,False
2012-04-22,92,False
2012-04-29,83,False
2012-05-06,87,False
2012-05-13,84,False
2012-05-20,98,False
2012-05-27,86,False
2012-06-03,92,False
2012-06-10,93,False
2012-06-17,95,False
2012-06-24,81,False
2012-07-01,79,False
2012-07-08,88,False
2012-07-15,89,False
2012-07-22,90,False
2012-07-29,85,False
2012-08-05,81,False
2012-08-12,100,False
2012-08-19,75,False
2012-08-26,87,False
2012-09-02,81,False
2012-09-09,87,False
2012-09-16,83,False
2012-09-23,82,False
2012-09-30,79,False
2012-10-07,85,False
2012-10-14,80,False
2012-10-21,67,False
2012-10-28,79,False
2012-11-04,75,False
2012-11-11,98,False
2012-11-18,77,False
2012-11-25,82,False
2012-12-02,83,False
2012-12-09,78,False
2012-12-16,65,False
2012-12-23,68,False
2012-12-30,82,False
