date,need,isPartial
2011-01-02,84,False
2011-01-09,78,False
2011-01-16,81,False
2011-01-23,83,False
2011-01-30,86,False
2011-02-06,83,False
2011-02-13,100,False
2011-02-20,88,False
2011-02-27,91,False
2011-03-06,88,False
2011-03-13,82,False
2011-03-20,87,False
2011-03-27,85,False
2011-04-03,88,False
2011-04-10,84,False
2011-04-17,86,False
2011-04-24,82,False
2011-05-01,82,False
2011-05-08,86,False
2011-05-15,82,False
2011-05-22,87,False
2011-05-29,85,False
2011-06-05,84,False
2011-06-12,84,False
2011-06-19,81,False
2011-06-26,82,False
2011-07-03,80,False
2011-07-10,82,False
2011-07-17,85,False
2011-07-24,80,False
2011-07-31,82,False
2011-08-07,82,False
2011-08-14,79,False
2011-08-21,80,False
2011-08-28,76,False
2011-09-04,79,False
2011-09-11,77,False
2011-09-18,76,False
2011-09-25,78,False
2011-10-02,76,False
2011-10-09,85,False
2011-10-16,80,False
2011-10-23,79,False
2011-10-30,79,False
2011-11-06,79,False
2011-11-13,87,False
2011-11-20,82,False
2011-11-27,82,False
2011-12-04,82,False
2011-12-11,83,False
2011-12-18,80,False
2011-12-25,84,False
