geoName,woeful
Alabama,0
Alaska,0
Arizona,30
Arkansas,0
California,39
Colorado,30
Connecticut,33
Delaware,0
District of Columbia,0
Florida,26
Georgia,25
Hawaii,0
Idaho,0
Illinois,31
Indiana,28
Iowa,0
Kansas,0
Kentucky,19
Louisiana,0
Maine,0
Maryland,40
Massachusetts,43
Michigan,20
Minnesota,18
Mississippi,0
Missouri,40
Montana,0
Nebraska,0
Nevada,23
New Hampshire,0
New Jersey,32
New Mexico,0
New York,26
North Carolina,33
North Dakota,0
Ohio,52
Oklahoma,0
Oregon,38
Pennsylvania,21
Rhode Island,0
South Carolina,100
South Dakota,0
Tennessee,34
Texas,15
Utah,0
Vermont,0
Virginia,26
Washington,88
West Virginia,0
Wisconsin,61
Wyoming,0
