geoName,woeful
Alabama,0
Alaska,0
Arizona,100
Arkansas,0
California,55
Colorado,11
Connecticut,42
Delaware,0
District of Columbia,0
Florida,37
Georgia,42
Hawaii,0
Idaho,0
Illinois,63
Indiana,48
Iowa,0
Kansas,21
Kentucky,92
Louisiana,0
Maine,0
Maryland,13
Massachusetts,31
Michigan,23
Minnesota,47
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,24
New Hampshire,0
New Jersey,54
New Mexico,0
New York,52
North Carolina,39
North Dakota,0
Ohio,68
Oklahoma,0
Oregon,31
Pennsylvania,35
Rhode Island,0
South Carolina,39
South Dakota,0
Tennessee,39
Texas,40
Utah,0
Vermont,0
Virginia,35
Washington,54
West Virginia,0
Wisconsin,91
Wyoming,0
