geoName,woeful
Alabama,0
Alaska,0
Arizona,35
Arkansas,0
California,61
Colorado,53
Connecticut,25
Delaware,0
District of Columbia,0
Florida,63
Georgia,51
Hawaii,0
Idaho,0
Illinois,21
Indiana,74
Iowa,0
Kansas,26
Kentucky,62
Louisiana,77
Maine,0
Maryland,74
Massachusetts,100
Michigan,83
Minnesota,40
Mississippi,0
Missouri,71
Montana,0
Nebraska,0
Nevada,27
New Hampshire,0
New Jersey,83
New Mexico,0
New York,49
North Carolina,32
North Dakota,0
Ohio,75
Oklahoma,0
Oregon,68
Pennsylvania,73
Rhode Island,0
South Carolina,34
South Dakota,0
Tennessee,54
Texas,65
Utah,0
Vermont,0
Virginia,30
Washington,57
West Virginia,0
Wisconsin,41
Wyoming,0
