geoName,woeful
Alabama,0
Alaska,0
Arizona,43
Arkansas,0
California,45
Colorado,38
Connecticut,12
Delaware,0
District of Columbia,0
Florida,55
Georgia,61
Hawaii,0
Idaho,0
Illinois,52
Indiana,59
Iowa,0
Kansas,51
Kentucky,40
Louisiana,39
Maine,0
Maryland,45
Massachusetts,51
Michigan,46
Minnesota,33
Mississippi,0
Missouri,49
Montana,0
Nebraska,0
Nevada,47
New Hampshire,0
New Jersey,75
New Mexico,0
New York,29
North Carolina,39
North Dakota,0
Ohio,26
Oklahoma,0
Oregon,59
Pennsylvania,30
Rhode Island,0
South Carolina,100
South Dakota,0
Tennessee,29
Texas,46
Utah,0
Vermont,0
Virginia,67
Washington,52
West Virginia,0
Wisconsin,35
Wyoming,0
