geoName,woeful
Alabama,0
Alaska,0
Arizona,88
Arkansas,0
California,36
Colorado,12
Connecticut,80
Delaware,0
District of Columbia,0
Florida,39
Georgia,55
Hawaii,0
Idaho,0
Illinois,21
Indiana,18
Iowa,0
Kansas,0
Kentucky,100
Louisiana,21
Maine,0
Maryland,13
Massachusetts,44
Michigan,8
Minnesota,36
Mississippi,0
Missouri,26
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,44
New Mexico,0
New York,52
North Carolina,24
North Dakota,0
Ohio,31
Oklahoma,0
Oregon,38
Pennsylvania,13
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,79
Texas,34
Utah,0
Vermont,0
Virginia,66
Washington,27
West Virginia,0
Wisconsin,45
Wyoming,0
