date,separation,isPartial
2011-01-02,83,False
2011-01-09,70,False
2011-01-16,82,False
2011-01-23,74,False
2011-01-30,78,False
2011-02-06,79,False
2011-02-13,91,False
2011-02-20,81,False
2011-02-27,77,False
2011-03-06,77,False
2011-03-13,73,False
2011-03-20,72,False
2011-03-27,80,False
2011-04-03,80,False
2011-04-10,81,False
2011-04-17,82,False
2011-04-24,86,False
2011-05-01,81,False
2011-05-08,85,False
2011-05-15,75,False
2011-05-22,66,False
2011-05-29,72,False
2011-06-05,77,False
2011-06-12,71,False
2011-06-19,80,False
2011-06-26,74,False
2011-07-03,74,False
2011-07-10,79,False
2011-07-17,73,False
2011-07-24,66,False
2011-07-31,71,False
2011-08-07,69,False
2011-08-14,82,False
2011-08-21,78,False
2011-08-28,83,False
2011-09-04,78,False
2011-09-11,90,False
2011-09-18,100,False
2011-09-25,95,False
2011-10-02,88,False
2011-10-09,90,False
2011-10-16,94,False
2011-10-23,85,False
2011-10-30,87,False
2011-11-06,89,False
2011-11-13,87,False
2011-11-20,78,False
2011-11-27,89,False
2011-12-04,89,False
2011-12-11,77,False
2011-12-18,62,False
2011-12-25,74,False
