date,peers,isPartial
2015-01-04,63,False
2015-01-11,72,False
2015-01-18,84,False
2015-01-25,87,False
2015-02-01,81,False
2015-02-08,88,False
2015-02-15,69,False
2015-02-22,88,False
2015-03-01,88,False
2015-03-08,89,False
2015-03-15,92,False
2015-03-22,73,False
2015-03-29,78,False
2015-04-05,75,False
2015-04-12,87,False
2015-04-19,85,False
2015-04-26,69,False
2015-05-03,78,False
2015-05-10,68,False
2015-05-17,76,False
2015-05-24,68,False
2015-05-31,68,False
2015-06-07,60,False
2015-06-14,63,False
2015-06-21,61,False
2015-06-28,52,False
2015-07-05,69,False
2015-07-12,71,False
2015-07-19,51,False
2015-07-26,69,False
2015-08-02,62,False
2015-08-09,72,False
2015-08-16,69,False
2015-08-23,80,False
2015-08-30,80,False
2015-09-06,75,False
2015-09-13,84,False
2015-09-20,81,False
2015-09-27,83,False
2015-10-04,88,False
2015-10-11,88,False
2015-10-18,94,False
2015-10-25,96,False
2015-11-01,93,False
2015-11-08,92,False
2015-11-15,100,False
2015-11-22,65,False
2015-11-29,79,False
2015-12-06,89,False
2015-12-13,63,False
2015-12-20,48,False
2015-12-27,45,False
