date,peers,isPartial
2011-01-02,80,False
2011-01-09,59,False
2011-01-16,62,False
2011-01-23,67,False
2011-01-30,60,False
2011-02-06,79,False
2011-02-13,63,False
2011-02-20,74,False
2011-02-27,64,False
2011-03-06,62,False
2011-03-13,75,False
2011-03-20,65,False
2011-03-27,73,False
2011-04-03,84,False
2011-04-10,67,False
2011-04-17,100,False
2011-04-24,87,False
2011-05-01,79,False
2011-05-08,100,False
2011-05-15,66,False
2011-05-22,73,False
2011-05-29,63,False
2011-06-05,64,False
2011-06-12,57,False
2011-06-19,65,False
2011-06-26,59,False
2011-07-03,66,False
2011-07-10,52,False
2011-07-17,69,False
2011-07-24,53,False
2011-07-31,69,False
2011-08-07,43,False
2011-08-14,48,False
2011-08-21,72,False
2011-08-28,62,False
2011-09-04,84,False
2011-09-11,79,False
2011-09-18,87,False
2011-09-25,87,False
2011-10-02,75,False
2011-10-09,72,False
2011-10-16,86,False
2011-10-23,72,False
2011-10-30,71,False
2011-11-06,64,False
2011-11-13,76,False
2011-11-20,61,False
2011-11-27,85,False
2011-12-04,89,False
2011-12-11,84,False
2011-12-18,76,False
2011-12-25,59,False
