date,peers,isPartial
2012-01-01,87,False
2012-01-08,82,False
2012-01-15,87,False
2012-01-22,90,False
2012-01-29,83,False
2012-02-05,91,False
2012-02-12,88,False
2012-02-19,93,False
2012-02-26,86,False
2012-03-04,93,False
2012-03-11,67,False
2012-03-18,88,False
2012-03-25,89,False
2012-04-01,71,False
2012-04-08,100,False
2012-04-15,92,False
2012-04-22,88,False
2012-04-29,98,False
2012-05-06,74,False
2012-05-13,73,False
2012-05-20,65,False
2012-05-27,57,False
2012-06-03,65,False
2012-06-10,77,False
2012-06-17,73,False
2012-06-24,75,False
2012-07-01,76,False
2012-07-08,80,False
2012-07-15,77,False
2012-07-22,85,False
2012-07-29,75,False
2012-08-05,65,False
2012-08-12,88,False
2012-08-19,65,False
2012-08-26,77,False
2012-09-02,86,False
2012-09-09,76,False
2012-09-16,94,False
2012-09-23,96,False
2012-09-30,84,False
2012-10-07,86,False
2012-10-14,74,False
2012-10-21,93,False
2012-10-28,87,False
2012-11-04,88,False
2012-11-11,94,False
2012-11-18,88,False
2012-11-25,100,False
2012-12-02,87,False
2012-12-09,74,False
2012-12-16,63,False
2012-12-23,56,False
2012-12-30,64,False
