date,peers,isPartial
2013-01-06,71,False
2013-01-13,77,False
2013-01-20,75,False
2013-01-27,75,False
2013-02-03,91,False
2013-02-10,90,False
2013-02-17,89,False
2013-02-24,100,False
2013-03-03,90,False
2013-03-10,83,False
2013-03-17,75,False
2013-03-24,96,False
2013-03-31,86,False
2013-04-07,81,False
2013-04-14,86,False
2013-04-21,96,False
2013-04-28,80,False
2013-05-05,77,False
2013-05-12,77,False
2013-05-19,70,False
2013-05-26,64,False
2013-06-02,92,False
2013-06-09,71,False
2013-06-16,65,False
2013-06-23,62,False
2013-06-30,69,False
2013-07-07,79,False
2013-07-14,100,False
2013-07-21,69,False
2013-07-28,71,False
2013-08-04,67,False
2013-08-11,72,False
2013-08-18,68,False
2013-08-25,73,False
2013-09-01,68,False
2013-09-08,74,False
2013-09-15,66,False
2013-09-22,93,False
2013-09-29,82,False
2013-10-06,85,False
2013-10-13,95,False
2013-10-20,94,False
2013-10-27,82,False
2013-11-03,78,False
2013-11-10,84,False
2013-11-17,91,False
2013-11-24,71,False
2013-12-01,81,False
2013-12-08,92,False
2013-12-15,71,False
2013-12-22,51,False
2013-12-29,62,False
