date,peers,isPartial
2016-01-03,64,False
2016-01-10,68,False
2016-01-17,69,False
2016-01-24,90,False
2016-01-31,91,False
2016-02-07,83,False
2016-02-14,89,False
2016-02-21,90,False
2016-02-28,88,False
2016-03-06,83,False
2016-03-13,79,False
2016-03-20,88,False
2016-03-27,87,False
2016-04-03,94,False
2016-04-10,95,False
2016-04-17,100,False
2016-04-24,87,False
2016-05-01,95,False
2016-05-08,83,False
2016-05-15,79,False
2016-05-22,61,False
2016-05-29,68,False
2016-06-05,67,False
2016-06-12,67,False
2016-06-19,70,False
2016-06-26,55,False
2016-07-03,65,False
2016-07-10,54,False
2016-07-17,60,False
2016-07-24,58,False
2016-07-31,52,False
2016-08-07,60,False
2016-08-14,56,False
2016-08-21,81,False
2016-08-28,72,False
2016-09-04,84,False
2016-09-11,91,False
2016-09-18,82,False
2016-09-25,82,False
2016-10-02,74,False
2016-10-09,80,False
2016-10-16,96,False
2016-10-23,99,False
2016-10-30,96,False
2016-11-06,86,False
2016-11-13,86,False
2016-11-20,55,False
2016-11-27,82,False
2016-12-04,78,False
2016-12-11,75,False
2016-12-18,55,False
2016-12-25,49,False
