date,afraid,isPartial
2014-01-05,47,False
2014-01-12,38,False
2014-01-19,38,False
2014-01-26,38,False
2014-02-02,39,False
2014-02-09,36,False
2014-02-16,39,False
2014-02-23,42,False
2014-03-02,40,False
2014-03-09,75,False
2014-03-16,100,False
2014-03-23,72,False
2014-03-30,65,False
2014-04-06,62,False
2014-04-13,72,False
2014-04-20,74,False
2014-04-27,62,False
2014-05-04,43,False
2014-05-11,42,False
2014-05-18,39,False
2014-05-25,37,False
2014-06-01,41,False
2014-06-08,42,False
2014-06-15,45,False
2014-06-22,57,False
2014-06-29,85,False
2014-07-06,83,False
2014-07-13,77,False
2014-07-20,83,False
2014-07-27,69,False
2014-08-03,60,False
2014-08-10,54,False
2014-08-17,62,False
2014-08-24,64,False
2014-08-31,59,False
2014-09-07,53,False
2014-09-14,61,False
2014-09-21,65,False
2014-09-28,65,False
2014-10-05,50,False
2014-10-12,44,False
2014-10-19,48,False
2014-10-26,46,False
2014-11-02,39,False
2014-11-09,49,False
2014-11-16,44,False
2014-11-23,43,False
2014-11-30,48,False
2014-12-07,69,False
2014-12-14,41,False
2014-12-21,35,False
2014-12-28,43,False
