date,afraid,isPartial
2015-01-04,50,False
2015-01-11,54,False
2015-01-18,47,False
2015-01-25,44,False
2015-02-01,44,False
2015-02-08,41,False
2015-02-15,45,False
2015-02-22,43,False
2015-03-01,46,False
2015-03-08,46,False
2015-03-15,43,False
2015-03-22,48,False
2015-03-29,59,False
2015-04-05,62,False
2015-04-12,71,False
2015-04-19,93,False
2015-04-26,85,False
2015-05-03,70,False
2015-05-10,84,False
2015-05-17,70,False
2015-05-24,72,False
2015-05-31,77,False
2015-06-07,83,False
2015-06-14,75,False
2015-06-21,75,False
2015-06-28,91,False
2015-07-05,66,False
2015-07-12,96,False
2015-07-19,100,False
2015-07-26,98,False
2015-08-02,88,False
2015-08-09,83,False
2015-08-16,81,False
2015-08-23,83,False
2015-08-30,79,False
2015-09-06,87,False
2015-09-13,62,False
2015-09-20,49,False
2015-09-27,59,False
2015-10-04,68,False
2015-10-11,58,False
2015-10-18,60,False
2015-10-25,72,False
2015-11-01,66,False
2015-11-08,62,False
2015-11-15,93,False
2015-11-22,60,False
2015-11-29,50,False
2015-12-06,51,False
2015-12-13,49,False
2015-12-20,56,False
2015-12-27,52,False
