date,suicidal,isPartial
2014-01-05,75,False
2014-01-12,77,False
2014-01-19,75,False
2014-01-26,85,False
2014-02-02,78,False
2014-02-09,85,False
2014-02-16,75,False
2014-02-23,72,False
2014-03-02,74,False
2014-03-09,87,False
2014-03-16,78,False
2014-03-23,79,False
2014-03-30,74,False
2014-04-06,81,False
2014-04-13,76,False
2014-04-20,85,False
2014-04-27,82,False
2014-05-04,81,False
2014-05-11,97,False
2014-05-18,86,False
2014-05-25,82,False
2014-06-01,68,False
2014-06-08,81,False
2014-06-15,75,False
2014-06-22,96,False
2014-06-29,76,False
2014-07-06,81,False
2014-07-13,78,False
2014-07-20,67,False
2014-07-27,75,False
2014-08-03,71,False
2014-08-10,100,False
2014-08-17,80,False
2014-08-24,90,False
2014-08-31,79,False
2014-09-07,76,False
2014-09-14,83,False
2014-09-21,74,False
2014-09-28,74,False
2014-10-05,76,False
2014-10-12,74,False
2014-10-19,82,False
2014-10-26,79,False
2014-11-02,81,False
2014-11-09,91,False
2014-11-16,84,False
2014-11-23,77,False
2014-11-30,90,False
2014-12-07,88,False
2014-12-14,70,False
2014-12-21,64,False
2014-12-28,75,False
