date,suicidal,isPartial
2015-01-04,79,False
2015-01-11,82,False
2015-01-18,86,False
2015-01-25,74,False
2015-02-01,82,False
2015-02-08,83,False
2015-02-15,80,False
2015-02-22,94,False
2015-03-01,88,False
2015-03-08,85,False
2015-03-15,85,False
2015-03-22,97,False
2015-03-29,100,False
2015-04-05,91,False
2015-04-12,88,False
2015-04-19,82,False
2015-04-26,87,False
2015-05-03,91,False
2015-05-10,90,False
2015-05-17,81,False
2015-05-24,89,False
2015-05-31,91,False
2015-06-07,80,False
2015-06-14,78,False
2015-06-21,78,False
2015-06-28,72,False
2015-07-05,88,False
2015-07-12,91,False
2015-07-19,92,False
2015-07-26,92,False
2015-08-02,85,False
2015-08-09,84,False
2015-08-16,85,False
2015-08-23,72,False
2015-08-30,78,False
2015-09-06,91,False
2015-09-13,80,False
2015-09-20,86,False
2015-09-27,96,False
2015-10-04,98,False
2015-10-11,89,False
2015-10-18,96,False
2015-10-25,90,False
2015-11-01,92,False
2015-11-08,93,False
2015-11-15,79,False
2015-11-22,79,False
2015-11-29,92,False
2015-12-06,87,False
2015-12-13,82,False
2015-12-20,69,False
2015-12-27,82,False
