date,suicidal,isPartial
2012-01-01,83,False
2012-01-08,87,False
2012-01-15,77,False
2012-01-22,77,False
2012-01-29,76,False
2012-02-05,80,False
2012-02-12,95,False
2012-02-19,68,False
2012-02-26,82,False
2012-03-04,78,False
2012-03-11,79,False
2012-03-18,87,False
2012-03-25,83,False
2012-04-01,67,False
2012-04-08,73,False
2012-04-15,77,False
2012-04-22,88,False
2012-04-29,100,False
2012-05-06,93,False
2012-05-13,74,False
2012-05-20,83,False
2012-05-27,79,False
2012-06-03,73,False
2012-06-10,74,False
2012-06-17,70,False
2012-06-24,67,False
2012-07-01,86,False
2012-07-08,81,False
2012-07-15,70,False
2012-07-22,67,False
2012-07-29,70,False
2012-08-05,72,False
2012-08-12,69,False
2012-08-19,75,False
2012-08-26,71,False
2012-09-02,68,False
2012-09-09,84,False
2012-09-16,73,False
2012-09-23,81,False
2012-09-30,84,False
2012-10-07,78,False
2012-10-14,93,False
2012-10-21,76,False
2012-10-28,84,False
2012-11-04,66,False
2012-11-11,86,False
2012-11-18,77,False
2012-11-25,85,False
2012-12-02,82,False
2012-12-09,84,False
2012-12-16,74,False
2012-12-23,72,False
2012-12-30,72,False
