date,suicidal,isPartial
2016-01-03,83,False
2016-01-10,78,False
2016-01-17,87,False
2016-01-24,82,False
2016-01-31,81,False
2016-02-07,88,False
2016-02-14,85,False
2016-02-21,93,False
2016-02-28,92,False
2016-03-06,81,False
2016-03-13,95,False
2016-03-20,87,False
2016-03-27,100,False
2016-04-03,91,False
2016-04-10,89,False
2016-04-17,97,False
2016-04-24,97,False
2016-05-01,95,False
2016-05-08,87,False
2016-05-15,94,False
2016-05-22,91,False
2016-05-29,90,False
2016-06-05,87,False
2016-06-12,87,False
2016-06-19,90,False
2016-06-26,72,False
2016-07-03,74,False
2016-07-10,71,False
2016-07-17,76,False
2016-07-24,73,False
2016-07-31,85,False
2016-08-07,69,False
2016-08-14,56,False
2016-08-21,66,False
2016-08-28,69,False
2016-09-04,73,False
2016-09-11,71,False
2016-09-18,70,False
2016-09-25,75,False
2016-10-02,76,False
2016-10-09,80,False
2016-10-16,84,False
2016-10-23,83,False
2016-10-30,78,False
2016-11-06,73,False
2016-11-13,69,False
2016-11-20,70,False
2016-11-27,79,False
2016-12-04,84,False
2016-12-11,76,False
2016-12-18,66,False
2016-12-25,64,False
