date,suicidal,isPartial
2011-01-02,60,False
2011-01-09,64,False
2011-01-16,52,False
2011-01-23,50,False
2011-01-30,57,False
2011-02-06,69,False
2011-02-13,87,False
2011-02-20,82,False
2011-02-27,83,False
2011-03-06,80,False
2011-03-13,82,False
2011-03-20,72,False
2011-03-27,73,False
2011-04-03,73,False
2011-04-10,85,False
2011-04-17,71,False
2011-04-24,79,False
2011-05-01,81,False
2011-05-08,81,False
2011-05-15,78,False
2011-05-22,76,False
2011-05-29,70,False
2011-06-05,67,False
2011-06-12,68,False
2011-06-19,60,False
2011-06-26,64,False
2011-07-03,72,False
2011-07-10,75,False
2011-07-17,72,False
2011-07-24,74,False
2011-07-31,70,False
2011-08-07,57,False
2011-08-14,76,False
2011-08-21,71,False
2011-08-28,69,False
2011-09-04,86,False
2011-09-11,88,False
2011-09-18,89,False
2011-09-25,87,False
2011-10-02,84,False
2011-10-09,82,False
2011-10-16,84,False
2011-10-23,83,False
2011-10-30,84,False
2011-11-06,90,False
2011-11-13,100,False
2011-11-20,92,False
2011-11-27,91,False
2011-12-04,92,False
2011-12-11,84,False
2011-12-18,81,False
2011-12-25,84,False
