date,antisocial,isPartial
2012-01-01,52,False
2012-01-08,52,False
2012-01-15,50,False
2012-01-22,46,False
2012-01-29,43,False
2012-02-05,56,False
2012-02-12,71,False
2012-02-19,52,False
2012-02-26,69,False
2012-03-04,69,False
2012-03-11,57,False
2012-03-18,67,False
2012-03-25,62,False
2012-04-01,61,False
2012-04-08,72,False
2012-04-15,69,False
2012-04-22,74,False
2012-04-29,71,False
2012-05-06,74,False
2012-05-13,73,False
2012-05-20,65,False
2012-05-27,55,False
2012-06-03,52,False
2012-06-10,57,False
2012-06-17,51,False
2012-06-24,43,False
2012-07-01,51,False
2012-07-08,47,False
2012-07-15,47,False
2012-07-22,45,False
2012-07-29,51,False
2012-08-05,47,False
2012-08-12,49,False
2012-08-19,52,False
2012-08-26,49,False
2012-09-02,50,False
2012-09-09,52,False
2012-09-16,51,False
2012-09-23,50,False
2012-09-30,53,False
2012-10-07,53,False
2012-10-14,51,False
2012-10-21,51,False
2012-10-28,65,False
2012-11-04,63,False
2012-11-11,57,False
2012-11-18,54,False
2012-11-25,84,False
2012-12-02,100,False
2012-12-09,77,False
2012-12-16,58,False
2012-12-23,49,False
2012-12-30,46,False
