date,antisocial,isPartial
2013-01-06,64,False
2013-01-13,49,False
2013-01-20,68,False
2013-01-27,62,False
2013-02-03,71,False
2013-02-10,65,False
2013-02-17,56,False
2013-02-24,63,False
2013-03-03,78,False
2013-03-10,71,False
2013-03-17,74,False
2013-03-24,73,False
2013-03-31,70,False
2013-04-07,82,False
2013-04-14,92,False
2013-04-21,89,False
2013-04-28,94,False
2013-05-05,76,False
2013-05-12,63,False
2013-05-19,72,False
2013-05-26,78,False
2013-06-02,70,False
2013-06-09,51,False
2013-06-16,55,False
2013-06-23,53,False
2013-06-30,61,False
2013-07-07,67,False
2013-07-14,61,False
2013-07-21,59,False
2013-07-28,53,False
2013-08-04,62,False
2013-08-11,62,False
2013-08-18,45,False
2013-08-25,54,False
2013-09-01,62,False
2013-09-08,52,False
2013-09-15,64,False
2013-09-22,75,False
2013-09-29,51,False
2013-10-06,66,False
2013-10-13,77,False
2013-10-20,83,False
2013-10-27,73,False
2013-11-03,84,False
2013-11-10,76,False
2013-11-17,100,False
2013-11-24,78,False
2013-12-01,93,False
2013-12-08,96,False
2013-12-15,72,False
2013-12-22,55,False
2013-12-29,68,False
