date,antisocial,isPartial
2015-01-04,44,False
2015-01-11,51,False
2015-01-18,50,False
2015-01-25,46,False
2015-02-01,53,False
2015-02-08,48,False
2015-02-15,41,False
2015-02-22,65,False
2015-03-01,58,False
2015-03-08,71,False
2015-03-15,71,False
2015-03-22,62,False
2015-03-29,62,False
2015-04-05,66,False
2015-04-12,65,False
2015-04-19,88,False
2015-04-26,82,False
2015-05-03,76,False
2015-05-10,57,False
2015-05-17,61,False
2015-05-24,56,False
2015-05-31,50,False
2015-06-07,52,False
2015-06-14,38,False
2015-06-21,40,False
2015-06-28,44,False
2015-07-05,41,False
2015-07-12,44,False
2015-07-19,41,False
2015-07-26,53,False
2015-08-02,47,False
2015-08-09,42,False
2015-08-16,46,False
2015-08-23,51,False
2015-08-30,53,False
2015-09-06,57,False
2015-09-13,65,False
2015-09-20,68,False
2015-09-27,57,False
2015-10-04,70,False
2015-10-11,73,False
2015-10-18,65,False
2015-10-25,67,False
2015-11-01,79,False
2015-11-08,82,False
2015-11-15,80,False
2015-11-22,79,False
2015-11-29,88,False
2015-12-06,100,False
2015-12-13,58,False
2015-12-20,42,False
2015-12-27,55,False
