date,antisocial,isPartial
2016-01-03,68,False
2016-01-10,48,False
2016-01-17,64,False
2016-01-24,61,False
2016-01-31,65,False
2016-02-07,64,False
2016-02-14,65,False
2016-02-21,65,False
2016-02-28,73,False
2016-03-06,77,False
2016-03-13,60,False
2016-03-20,62,False
2016-03-27,71,False
2016-04-03,77,False
2016-04-10,76,False
2016-04-17,88,False
2016-04-24,86,False
2016-05-01,78,False
2016-05-08,72,False
2016-05-15,67,False
2016-05-22,70,False
2016-05-29,61,False
2016-06-05,62,False
2016-06-12,59,False
2016-06-19,43,False
2016-06-26,49,False
2016-07-03,64,False
2016-07-10,45,False
2016-07-17,57,False
2016-07-24,58,False
2016-07-31,49,False
2016-08-07,48,False
2016-08-14,53,False
2016-08-21,47,False
2016-08-28,55,False
2016-09-04,49,False
2016-09-11,63,False
2016-09-18,62,False
2016-09-25,64,False
2016-10-02,64,False
2016-10-09,64,False
2016-10-16,75,False
2016-10-23,100,False
2016-10-30,76,False
2016-11-06,69,False
2016-11-13,88,False
2016-11-20,63,False
2016-11-27,99,False
2016-12-04,87,False
2016-12-11,82,False
2016-12-18,48,False
2016-12-25,43,False
