date,antisocial,isPartial
2011-01-02,57,False
2011-01-09,43,False
2011-01-16,69,False
2011-01-23,44,False
2011-01-30,46,False
2011-02-06,60,False
2011-02-13,53,False
2011-02-20,62,False
2011-02-27,70,False
2011-03-06,68,False
2011-03-13,53,False
2011-03-20,70,False
2011-03-27,87,False
2011-04-03,72,False
2011-04-10,66,False
2011-04-17,57,False
2011-04-24,67,False
2011-05-01,86,False
2011-05-08,67,False
2011-05-15,74,False
2011-05-22,66,False
2011-05-29,59,False
2011-06-05,63,False
2011-06-12,57,False
2011-06-19,47,False
2011-06-26,51,False
2011-07-03,50,False
2011-07-10,48,False
2011-07-17,55,False
2011-07-24,44,False
2011-07-31,32,False
2011-08-07,40,False
2011-08-14,45,False
2011-08-21,36,False
2011-08-28,48,False
2011-09-04,52,False
2011-09-11,50,False
2011-09-18,59,False
2011-09-25,58,False
2011-10-02,49,False
2011-10-09,61,False
2011-10-16,63,False
2011-10-23,64,False
2011-10-30,65,False
2011-11-06,72,False
2011-11-13,81,False
2011-11-20,57,False
2011-11-27,75,False
2011-12-04,100,False
2011-12-11,75,False
2011-12-18,37,False
2011-12-25,34,False
