date,antisocial,isPartial
2014-01-05,76,False
2014-01-12,73,False
2014-01-19,56,False
2014-01-26,65,False
2014-02-02,68,False
2014-02-09,71,False
2014-02-16,72,False
2014-02-23,77,False
2014-03-02,73,False
2014-03-09,68,False
2014-03-16,72,False
2014-03-23,65,False
2014-03-30,84,False
2014-04-06,81,False
2014-04-13,83,False
2014-04-20,91,False
2014-04-27,82,False
2014-05-04,90,False
2014-05-11,84,False
2014-05-18,93,False
2014-05-25,72,False
2014-06-01,60,False
2014-06-08,65,False
2014-06-15,52,False
2014-06-22,69,False
2014-06-29,54,False
2014-07-06,69,False
2014-07-13,69,False
2014-07-20,69,False
2014-07-27,60,False
2014-08-03,49,False
2014-08-10,52,False
2014-08-17,43,False
2014-08-24,61,False
2014-08-31,54,False
2014-09-07,69,False
2014-09-14,59,False
2014-09-21,59,False
2014-09-28,64,False
2014-10-05,81,False
2014-10-12,77,False
2014-10-19,71,False
2014-10-26,83,False
2014-11-02,74,False
2014-11-09,75,False
2014-11-16,72,False
2014-11-23,76,False
2014-11-30,100,False
2014-12-07,86,False
2014-12-14,65,False
2014-12-21,53,False
2014-12-28,48,False
