geoName,fatalistic
Alabama,11
Alaska,0
Arizona,54
Arkansas,42
California,43
Colorado,29
Connecticut,31
Delaware,0
District of Columbia,19
Florida,33
Georgia,31
Hawaii,0
Idaho,0
Illinois,34
Indiana,29
Iowa,28
Kansas,13
Kentucky,20
Louisiana,33
Maine,0
Maryland,30
Massachusetts,23
Michigan,37
Minnesota,42
Mississippi,100
Missouri,16
Montana,0
Nebraska,0
Nevada,14
New Hampshire,0
New Jersey,38
New Mexico,0
New York,46
North Carolina,29
North Dakota,56
Ohio,31
Oklahoma,26
Oregon,82
Pennsylvania,31
Rhode Island,0
South Carolina,49
South Dakota,0
Tennessee,43
Texas,48
Utah,37
Vermont,0
Virginia,48
Washington,45
West Virginia,0
Wisconsin,41
Wyoming,0
