geoName,fatalistic
Alabama,82
Alaska,0
Arizona,35
Arkansas,90
California,69
Colorado,61
Connecticut,62
Delaware,57
District of Columbia,84
Florida,51
Georgia,26
Hawaii,0
Idaho,0
Illinois,47
Indiana,66
Iowa,31
Kansas,26
Kentucky,52
Louisiana,39
Maine,0
Maryland,60
Massachusetts,59
Michigan,50
Minnesota,60
Mississippi,81
Missouri,85
Montana,0
Nebraska,0
Nevada,96
New Hampshire,0
New Jersey,63
New Mexico,0
New York,57
North Carolina,52
North Dakota,62
Ohio,38
Oklahoma,44
Oregon,83
Pennsylvania,59
Rhode Island,0
South Carolina,69
South Dakota,0
Tennessee,62
Texas,31
Utah,100
Vermont,0
Virginia,23
Washington,83
West Virginia,0
Wisconsin,70
Wyoming,0
