date,fatalistic,isPartial
2015-01-04,38,False
2015-01-11,56,False
2015-01-18,67,False
2015-01-25,51,False
2015-02-01,45,False
2015-02-08,72,False
2015-02-15,42,False
2015-02-22,59,False
2015-03-01,96,False
2015-03-08,47,False
2015-03-15,65,False
2015-03-22,68,False
2015-03-29,49,False
2015-04-05,48,False
2015-04-12,66,False
2015-04-19,52,False
2015-04-26,53,False
2015-05-03,54,False
2015-05-10,34,False
2015-05-17,55,False
2015-05-24,47,False
2015-05-31,36,False
2015-06-07,36,False
2015-06-14,26,False
2015-06-21,26,False
2015-06-28,53,False
2015-07-05,47,False
2015-07-12,36,False
2015-07-19,26,False
2015-07-26,41,False
2015-08-02,20,False
2015-08-09,77,False
2015-08-16,81,False
2015-08-23,70,False
2015-08-30,73,False
2015-09-06,64,False
2015-09-13,61,False
2015-09-20,65,False
2015-09-27,56,False
2015-10-04,85,False
2015-10-11,33,False
2015-10-18,64,False
2015-10-25,69,False
2015-11-01,50,False
2015-11-08,50,False
2015-11-15,100,False
2015-11-22,45,False
2015-11-29,66,False
2015-12-06,45,False
2015-12-13,60,False
2015-12-20,27,False
2015-12-27,20,False
