geoName,fatalistic
Alabama,80
Alaska,0
Arizona,85
Arkansas,64
California,73
Colorado,85
Connecticut,77
Delaware,0
District of Columbia,58
Florida,75
Georgia,42
Hawaii,0
Idaho,0
Illinois,66
Indiana,98
Iowa,26
Kansas,100
Kentucky,50
Louisiana,28
Maine,0
Maryland,82
Massachusetts,71
Michigan,74
Minnesota,90
Mississippi,53
Missouri,83
Montana,0
Nebraska,0
Nevada,23
New Hampshire,0
New Jersey,69
New Mexico,0
New York,59
North Carolina,45
North Dakota,53
Ohio,80
Oklahoma,82
Oregon,87
Pennsylvania,61
Rhode Island,0
South Carolina,90
South Dakota,0
Tennessee,53
Texas,59
Utah,23
Vermont,0
Virginia,57
Washington,68
West Virginia,0
Wisconsin,39
Wyoming,0
