geoName,fatalistic
Alabama,56
Alaska,0
Arizona,72
Arkansas,52
California,66
Colorado,71
Connecticut,74
Delaware,60
District of Columbia,52
Florida,57
Georgia,71
Hawaii,0
Idaho,0
Illinois,46
Indiana,38
Iowa,35
Kansas,49
Kentucky,22
Louisiana,59
Maine,0
Maryland,37
Massachusetts,51
Michigan,46
Minnesota,62
Mississippi,24
Missouri,66
Montana,0
Nebraska,0
Nevada,28
New Hampshire,0
New Jersey,68
New Mexico,0
New York,56
North Carolina,55
North Dakota,71
Ohio,67
Oklahoma,97
Oregon,31
Pennsylvania,83
Rhode Island,0
South Carolina,68
South Dakota,0
Tennessee,39
Texas,61
Utah,33
Vermont,0
Virginia,71
Washington,80
West Virginia,0
Wisconsin,100
Wyoming,0
