geoName,fatalistic
Alabama,84
Alaska,0
Arizona,28
Arkansas,46
California,54
Colorado,28
Connecticut,9
Delaware,100
District of Columbia,36
Florida,26
Georgia,36
Hawaii,0
Idaho,0
Illinois,39
Indiana,46
Iowa,58
Kansas,36
Kentucky,42
Louisiana,57
Maine,0
Maryland,33
Massachusetts,49
Michigan,26
Minnesota,36
Mississippi,18
Missouri,51
Montana,0
Nebraska,0
Nevada,65
New Hampshire,0
New Jersey,32
New Mexico,0
New York,49
North Carolina,29
North Dakota,61
Ohio,50
Oklahoma,78
Oregon,42
Pennsylvania,52
Rhode Island,0
South Carolina,56
South Dakota,0
Tennessee,25
Texas,55
Utah,49
Vermont,0
Virginia,73
Washington,62
West Virginia,0
Wisconsin,40
Wyoming,0
