geoName,disheartened
Alabama,53
Alaska,0
Arizona,48
Arkansas,0
California,42
Colorado,12
Connecticut,41
Delaware,0
District of Columbia,18
Florida,62
Georgia,19
Hawaii,0
Idaho,0
Illinois,42
Indiana,34
Iowa,0
Kansas,32
Kentucky,0
Louisiana,27
Maine,0
Maryland,25
Massachusetts,15
Michigan,60
Minnesota,45
Mississippi,0
Missouri,75
Montana,0
Nebraska,0
Nevada,34
New Hampshire,0
New Jersey,100
New Mexico,0
New York,45
North Carolina,16
North Dakota,0
Ohio,8
Oklahoma,31
Oregon,35
Pennsylvania,13
Rhode Island,0
South Carolina,24
South Dakota,0
Tennessee,32
Texas,31
Utah,61
Vermont,0
Virginia,53
Washington,27
West Virginia,0
Wisconsin,16
Wyoming,0
