geoName,disheartened
Alabama,38
Alaska,0
Arizona,63
Arkansas,0
California,55
Colorado,36
Connecticut,83
Delaware,0
District of Columbia,31
Florida,55
Georgia,45
Hawaii,0
Idaho,0
Illinois,46
Indiana,52
Iowa,42
Kansas,13
Kentucky,85
Louisiana,51
Maine,0
Maryland,35
Massachusetts,48
Michigan,54
Minnesota,38
Mississippi,0
Missouri,44
Montana,0
Nebraska,0
Nevada,24
New Hampshire,0
New Jersey,100
New Mexico,0
New York,43
North Carolina,27
North Dakota,0
Ohio,54
Oklahoma,38
Oregon,54
Pennsylvania,56
Rhode Island,0
South Carolina,79
South Dakota,0
Tennessee,57
Texas,40
Utah,62
Vermont,0
Virginia,45
Washington,36
West Virginia,61
Wisconsin,49
Wyoming,0
