geoName,disheartened
Alabama,13
Alaska,0
Arizona,42
Arkansas,0
California,52
Colorado,47
Connecticut,23
Delaware,0
District of Columbia,12
Florida,64
Georgia,29
Hawaii,0
Idaho,0
Illinois,39
Indiana,61
Iowa,16
Kansas,45
Kentucky,40
Louisiana,54
Maine,0
Maryland,27
Massachusetts,68
Michigan,38
Minnesota,19
Mississippi,0
Missouri,33
Montana,0
Nebraska,0
Nevada,26
New Hampshire,0
New Jersey,50
New Mexico,0
New York,43
North Carolina,34
North Dakota,0
Ohio,37
Oklahoma,100
Oregon,34
Pennsylvania,63
Rhode Island,0
South Carolina,42
South Dakota,0
Tennessee,28
Texas,39
Utah,15
Vermont,0
Virginia,36
Washington,44
West Virginia,71
Wisconsin,35
Wyoming,0
