geoName,disheartened
Alabama,46
Alaska,0
Arizona,43
Arkansas,0
California,31
Colorado,26
Connecticut,17
Delaware,0
District of Columbia,34
Florida,11
Georgia,18
Hawaii,0
Idaho,0
Illinois,20
Indiana,8
Iowa,30
Kansas,14
Kentucky,11
Louisiana,18
Maine,0
Maryland,38
Massachusetts,43
Michigan,20
Minnesota,10
Mississippi,0
Missouri,34
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,11
New Mexico,0
New York,26
North Carolina,35
North Dakota,0
Ohio,37
Oklahoma,100
Oregon,16
Pennsylvania,17
Rhode Island,0
South Carolina,21
South Dakota,0
Tennessee,27
Texas,25
Utah,79
Vermont,0
Virginia,20
Washington,15
West Virginia,34
Wisconsin,13
Wyoming,0
