geoName,disheartened
Alabama,46
Alaska,0
Arizona,49
Arkansas,0
California,32
Colorado,7
Connecticut,36
Delaware,0
District of Columbia,47
Florida,45
Georgia,25
Hawaii,0
Idaho,0
Illinois,36
Indiana,79
Iowa,19
Kansas,16
Kentucky,54
Louisiana,61
Maine,0
Maryland,28
Massachusetts,31
Michigan,43
Minnesota,33
Mississippi,0
Missouri,50
Montana,0
Nebraska,0
Nevada,84
New Hampshire,0
New Jersey,37
New Mexico,0
New York,43
North Carolina,33
North Dakota,0
Ohio,46
Oklahoma,57
Oregon,47
Pennsylvania,90
Rhode Island,0
South Carolina,100
South Dakota,0
Tennessee,56
Texas,49
Utah,31
Vermont,0
Virginia,42
Washington,21
West Virginia,88
Wisconsin,43
Wyoming,0
