geoName,disheartened
Alabama,36
Alaska,0
Arizona,94
Arkansas,0
California,67
Colorado,80
Connecticut,33
Delaware,0
District of Columbia,30
Florida,76
Georgia,77
Hawaii,0
Idaho,0
Illinois,69
Indiana,50
Iowa,21
Kansas,70
Kentucky,69
Louisiana,69
Maine,0
Maryland,60
Massachusetts,79
Michigan,73
Minnesota,54
Mississippi,0
Missouri,57
Montana,0
Nebraska,0
Nevada,73
New Hampshire,0
New Jersey,100
New Mexico,0
New York,54
North Carolina,91
North Dakota,0
Ohio,62
Oklahoma,59
Oregon,28
Pennsylvania,29
Rhode Island,0
South Carolina,57
South Dakota,0
Tennessee,91
Texas,78
Utah,57
Vermont,0
Virginia,41
Washington,39
West Virginia,46
Wisconsin,56
Wyoming,0
