date,unhappy,isPartial
2012-01-01,64,False
2012-01-08,65,False
2012-01-15,64,False
2012-01-22,100,False
2012-01-29,79,False
2012-02-05,71,False
2012-02-12,80,False
2012-02-19,82,False
2012-02-26,68,False
2012-03-04,89,False
2012-03-11,91,False
2012-03-18,79,False
2012-03-25,80,False
2012-04-01,80,False
2012-04-08,75,False
2012-04-15,79,False
2012-04-22,81,False
2012-04-29,86,False
2012-05-06,83,False
2012-05-13,69,False
2012-05-20,71,False
2012-05-27,74,False
2012-06-03,87,False
2012-06-10,73,False
2012-06-17,75,False
2012-06-24,56,False
2012-07-01,71,False
2012-07-08,75,False
2012-07-15,63,False
2012-07-22,73,False
2012-07-29,74,False
2012-08-05,74,False
2012-08-12,92,False
2012-08-19,75,False
2012-08-26,70,False
2012-09-02,84,False
2012-09-09,86,False
2012-09-16,73,False
2012-09-23,83,False
2012-09-30,69,False
2012-10-07,77,False
2012-10-14,79,False
2012-10-21,70,False
2012-10-28,82,False
2012-11-04,85,False
2012-11-11,78,False
2012-11-18,81,False
2012-11-25,75,False
2012-12-02,88,False
2012-12-09,74,False
2012-12-16,73,False
2012-12-23,58,False
2012-12-30,73,False
