date,unhappy,isPartial
2014-01-05,62,False
2014-01-12,79,False
2014-01-19,84,False
2014-01-26,78,False
2014-02-02,81,False
2014-02-09,71,False
2014-02-16,84,False
2014-02-23,73,False
2014-03-02,79,False
2014-03-09,85,False
2014-03-16,83,False
2014-03-23,80,False
2014-03-30,68,False
2014-04-06,77,False
2014-04-13,100,False
2014-04-20,74,False
2014-04-27,91,False
2014-05-04,79,False
2014-05-11,95,False
2014-05-18,93,False
2014-05-25,79,False
2014-06-01,69,False
2014-06-08,87,False
2014-06-15,77,False
2014-06-22,74,False
2014-06-29,69,False
2014-07-06,81,False
2014-07-13,68,False
2014-07-20,98,False
2014-07-27,78,False
2014-08-03,71,False
2014-08-10,64,False
2014-08-17,80,False
2014-08-24,70,False
2014-08-31,84,False
2014-09-07,88,False
2014-09-14,71,False
2014-09-21,76,False
2014-09-28,73,False
2014-10-05,81,False
2014-10-12,80,False
2014-10-19,80,False
2014-10-26,86,False
2014-11-02,94,False
2014-11-09,87,False
2014-11-16,100,False
2014-11-23,77,False
2014-11-30,91,False
2014-12-07,81,False
2014-12-14,78,False
2014-12-21,66,False
2014-12-28,67,False
