date,wailing,isPartial
2016-01-03,24,False
2016-01-10,29,False
2016-01-17,22,False
2016-01-24,26,False
2016-01-31,30,False
2016-02-07,24,False
2016-02-14,31,False
2016-02-21,22,False
2016-02-28,28,False
2016-03-06,23,False
2016-03-13,24,False
2016-03-20,21,False
2016-03-27,20,False
2016-04-03,19,False
2016-04-10,23,False
2016-04-17,24,False
2016-04-24,27,False
2016-05-01,21,False
2016-05-08,24,False
2016-05-15,26,False
2016-05-22,31,False
2016-05-29,81,False
2016-06-05,100,False
2016-06-12,69,False
2016-06-19,55,False
2016-06-26,48,False
2016-07-03,48,False
2016-07-10,40,False
2016-07-17,55,False
2016-07-24,33,False
2016-07-31,34,False
2016-08-07,34,False
2016-08-14,27,False
2016-08-21,30,False
2016-08-28,25,False
2016-09-04,35,False
2016-09-11,46,False
2016-09-18,39,False
2016-09-25,51,False
2016-10-02,45,False
2016-10-09,53,False
2016-10-16,35,False
2016-10-23,45,False
2016-10-30,47,False
2016-11-06,30,False
2016-11-13,36,False
2016-11-20,30,False
2016-11-27,39,False
2016-12-04,63,False
2016-12-11,69,False
2016-12-18,57,False
2016-12-25,81,False
