date,wailing,isPartial
2015-01-04,100,False
2015-01-11,69,False
2015-01-18,74,False
2015-01-25,62,False
2015-02-01,81,False
2015-02-08,93,False
2015-02-15,61,False
2015-02-22,63,False
2015-03-01,74,False
2015-03-08,51,False
2015-03-15,76,False
2015-03-22,76,False
2015-03-29,97,False
2015-04-05,68,False
2015-04-12,59,False
2015-04-19,79,False
2015-04-26,92,False
2015-05-03,81,False
2015-05-10,75,False
2015-05-17,66,False
2015-05-24,83,False
2015-05-31,60,False
2015-06-07,70,False
2015-06-14,87,False
2015-06-21,65,False
2015-06-28,73,False
2015-07-05,66,False
2015-07-12,72,False
2015-07-19,58,False
2015-07-26,58,False
2015-08-02,59,False
2015-08-09,83,False
2015-08-16,78,False
2015-08-23,86,False
2015-08-30,65,False
2015-09-06,68,False
2015-09-13,82,False
2015-09-20,79,False
2015-09-27,73,False
2015-10-04,80,False
2015-10-11,78,False
2015-10-18,98,False
2015-10-25,92,False
2015-11-01,63,False
2015-11-08,72,False
2015-11-15,75,False
2015-11-22,82,False
2015-11-29,58,False
2015-12-06,56,False
2015-12-13,66,False
2015-12-20,58,False
2015-12-27,68,False
