date,wailing,isPartial
2014-01-05,57,False
2014-01-12,37,False
2014-01-19,35,False
2014-01-26,31,False
2014-02-02,46,False
2014-02-09,44,False
2014-02-16,37,False
2014-02-23,39,False
2014-03-02,42,False
2014-03-09,42,False
2014-03-16,44,False
2014-03-23,51,False
2014-03-30,50,False
2014-04-06,36,False
2014-04-13,45,False
2014-04-20,35,False
2014-04-27,47,False
2014-05-04,29,False
2014-05-11,38,False
2014-05-18,34,False
2014-05-25,44,False
2014-06-01,31,False
2014-06-08,27,False
2014-06-15,29,False
2014-06-22,36,False
2014-06-29,33,False
2014-07-06,47,False
2014-07-13,50,False
2014-07-20,50,False
2014-07-27,39,False
2014-08-03,43,False
2014-08-10,41,False
2014-08-17,36,False
2014-08-24,40,False
2014-08-31,39,False
2014-09-07,53,False
2014-09-14,37,False
2014-09-21,40,False
2014-09-28,42,False
2014-10-05,35,False
2014-10-12,33,False
2014-10-19,45,False
2014-10-26,45,False
2014-11-02,37,False
2014-11-09,37,False
2014-11-16,36,False
2014-11-23,27,False
2014-11-30,31,False
2014-12-07,32,False
2014-12-14,41,False
2014-12-21,28,False
2014-12-28,100,False
