geoName,discontented
Alabama,28
Alaska,0
Arizona,38
Arkansas,0
California,22
Colorado,0
Connecticut,0
Delaware,0
District of Columbia,0
Florida,16
Georgia,13
Hawaii,0
Idaho,0
Illinois,20
Indiana,18
Iowa,0
Kansas,0
Kentucky,0
Louisiana,56
Maine,0
Maryland,26
Massachusetts,8
Michigan,36
Minnesota,23
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,36
New Hampshire,0
New Jersey,26
New Mexico,0
New York,31
North Carolina,0
North Dakota,0
Ohio,16
Oklahoma,0
Oregon,18
Pennsylvania,7
Rhode Island,0
South Carolina,100
South Dakota,0
Tennessee,17
Texas,11
Utah,0
Vermont,0
Virginia,28
Washington,38
West Virginia,0
Wisconsin,0
Wyoming,0
