date,discontented,isPartial
2011-01-02,62,False
2011-01-09,0,False
2011-01-16,80,False
2011-01-23,80,False
2011-01-30,76,False
2011-02-06,39,False
2011-02-13,100,False
2011-02-20,60,False
2011-02-27,78,False
2011-03-06,0,False
2011-03-13,21,False
2011-03-20,39,False
2011-03-27,77,False
2011-04-03,0,False
2011-04-10,19,False
2011-04-17,80,False
2011-04-24,39,False
2011-05-01,19,False
2011-05-08,0,False
2011-05-15,0,False
2011-05-22,0,False
2011-05-29,21,False
2011-06-05,0,False
2011-06-12,20,False
2011-06-19,39,False
2011-06-26,20,False
2011-07-03,0,False
2011-07-10,20,False
2011-07-17,0,False
2011-07-24,38,False
2011-07-31,57,False
2011-08-07,0,False
2011-08-14,0,False
2011-08-21,0,False
2011-08-28,37,False
2011-09-04,56,False
2011-09-11,54,False
2011-09-18,18,False
2011-09-25,0,False
2011-10-02,89,False
2011-10-09,0,False
2011-10-16,70,False
2011-10-23,0,False
2011-10-30,18,False
2011-11-06,51,False
2011-11-13,17,False
2011-11-20,90,False
2011-11-27,81,False
2011-12-04,49,False
2011-12-11,49,False
2011-12-18,52,False
2011-12-25,18,False
