geoName,discontented
Alabama,55
Alaska,0
Arizona,43
Arkansas,0
California,62
Colorado,0
Connecticut,0
Delaware,0
District of Columbia,0
Florida,70
Georgia,34
Hawaii,0
Idaho,0
Illinois,69
Indiana,63
Iowa,0
Kansas,0
Kentucky,0
Louisiana,19
Maine,0
Maryland,56
Massachusetts,84
Michigan,20
Minnesota,61
Mississippi,0
Missouri,24
Montana,0
Nebraska,0
Nevada,46
New Hampshire,0
New Jersey,78
New Mexico,0
New York,65
North Carolina,59
North Dakota,0
Ohio,45
Oklahoma,0
Oregon,15
Pennsylvania,56
Rhode Island,0
South Carolina,100
South Dakota,0
Tennessee,22
Texas,44
Utah,24
Vermont,0
Virginia,8
Washington,52
West Virginia,0
Wisconsin,0
Wyoming,0
