geoName,discontented
Alabama,65
Alaska,0
Arizona,30
Arkansas,0
California,36
Colorado,0
Connecticut,0
Delaware,0
District of Columbia,0
Florida,57
Georgia,37
Hawaii,0
Idaho,0
Illinois,60
Indiana,63
Iowa,0
Kansas,0
Kentucky,0
Louisiana,78
Maine,0
Maryland,0
Massachusetts,57
Michigan,61
Minnesota,70
Mississippi,0
Missouri,15
Montana,0
Nebraska,0
Nevada,71
New Hampshire,0
New Jersey,49
New Mexico,0
New York,53
North Carolina,39
North Dakota,0
Ohio,69
Oklahoma,0
Oregon,14
Pennsylvania,32
Rhode Island,0
South Carolina,30
South Dakota,0
Tennessee,34
Texas,33
Utah,100
Vermont,0
Virginia,39
Washington,56
West Virginia,0
Wisconsin,0
Wyoming,0
