geoName,discontented
Alabama,25
Alaska,0
Arizona,75
Arkansas,0
California,39
Colorado,0
Connecticut,0
Delaware,0
District of Columbia,0
Florida,46
Georgia,35
Hawaii,0
Idaho,0
Illinois,29
Indiana,51
Iowa,0
Kansas,0
Kentucky,0
Louisiana,24
Maine,0
Maryland,14
Massachusetts,17
Michigan,15
Minnesota,25
Mississippi,49
Missouri,39
Montana,0
Nebraska,0
Nevada,100
New Hampshire,0
New Jersey,23
New Mexico,0
New York,61
North Carolina,51
North Dakota,0
Ohio,39
Oklahoma,0
Oregon,25
Pennsylvania,51
Rhode Island,0
South Carolina,32
South Dakota,0
Tennessee,37
Texas,25
Utah,0
Vermont,0
Virginia,9
Washington,53
West Virginia,0
Wisconsin,0
Wyoming,0
