date,discontented,isPartial
2012-01-01,21,False
2012-01-08,20,False
2012-01-15,30,False
2012-01-22,49,False
2012-01-29,29,False
2012-02-05,30,False
2012-02-12,39,False
2012-02-19,10,False
2012-02-26,50,False
2012-03-04,30,False
2012-03-11,20,False
2012-03-18,10,False
2012-03-25,30,False
2012-04-01,0,False
2012-04-08,10,False
2012-04-15,30,False
2012-04-22,49,False
2012-04-29,29,False
2012-05-06,10,False
2012-05-13,10,False
2012-05-20,40,False
2012-05-27,10,False
2012-06-03,10,False
2012-06-10,10,False
2012-06-17,10,False
2012-06-24,30,False
2012-07-01,10,False
2012-07-08,20,False
2012-07-15,20,False
2012-07-22,10,False
2012-07-29,10,False
2012-08-05,10,False
2012-08-12,10,False
2012-08-19,29,False
2012-08-26,49,False
2012-09-02,39,False
2012-09-09,19,False
2012-09-16,47,False
2012-09-23,83,False
2012-09-30,55,False
2012-10-07,27,False
2012-10-14,9,False
2012-10-21,9,False
2012-10-28,18,False
2012-11-04,18,False
2012-11-11,100,False
2012-11-18,9,False
2012-11-25,17,False
2012-12-02,17,False
2012-12-09,9,False
2012-12-16,9,False
2012-12-23,0,False
2012-12-30,37,False
